ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
FTNT,81,2026-08-07,beta_hedged,0.49930611039757,0.5939086294416244,3,0.0,159.63999938964844,877126508.0,vol_21d(-0.007) | close_vs_sma200(+0.007) | atr_pct(-0.006)
JBL,82,2026-08-07,beta_hedged,0.49897427906942005,0.5888324873096447,3,0.0,341.2200012207031,330981390.0,vol_63d_rank(+0.006) | close_vs_sma200(+0.006) | vol_63d(+0.005)
NKE,83,2026-08-07,beta_hedged,0.4989729812800147,0.583756345177665,3,0.0,41.70000076293945,779173920.0,vol_63d(-0.007) | vol_63d_rank(+0.005) | close_vs_sma200(-0.004)
TPR,84,2026-08-07,beta_hedged,0.49874688904290343,0.5786802030456852,3,0.0,162.36000061035156,303476177.0,close_vs_sma200(+0.007) | vol_63d(-0.006) | ret_10d(-0.005)
FFIV,85,2026-08-07,beta_hedged,0.4983399710170226,0.5736040609137056,3,0.0,400.2300109863281,341280814.0,vol_21d(-0.007) | vol_63d(-0.006) | vol_63d_rank(+0.005)
DHI,86,2026-08-07,beta_hedged,0.4976059665146151,0.5685279187817259,3,0.0,151.0800018310547,391714861.0,vol_63d(-0.006) | vol_63d_rank(+0.004) | close_vs_sma200(-0.003)
JBHT,87,2026-08-07,beta_hedged,0.49736836481212054,0.5634517766497462,3,0.0,268.5199890136719,314497720.0,vol_63d(-0.008) | close_vs_sma200(+0.007) | vol_21d(-0.005)
ALGN,88,2026-08-07,beta_hedged,0.49732910763016447,0.5583756345177665,3,0.0,173.66000366210938,173090988.0,vol_21d(-0.005) | vol_63d(+0.004) | ret_10d(-0.003)
BKR,89,2026-08-07,beta_hedged,0.4970850884130495,0.5532994923857868,3,0.0,61.54999923706055,522360092.0,vol_63d(-0.007) | vol_63d_rank(+0.005) | vol_21d(+0.002)
TEL,90,2026-08-07,beta_hedged,0.49703281456674614,0.5482233502538071,3,0.0,216.3300018310547,578149562.0,vol_63d(-0.007) | vol_63d_rank(+0.004) | close_vs_sma200(-0.002)
CRM,91,2026-08-07,beta_hedged,0.49695344853959145,0.5431472081218274,3,0.0,192.74000549316406,2177000460.0,ret_10d(-0.013) | vol_63d(+0.007) | close_vs_sma50(+0.006)
