ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
DASH,49,2026-08-25,beta_hedged,0.5119860669811308,0.7473684210526316,4,0.0,233.5,955823697.0,close_vs_sma50(+0.004) | vol_63d_rank(+0.003) | vol_63d(+0.003)
CRL,50,2026-08-25,beta_hedged,0.5114689690660615,0.7421052631578947,4,0.0,297.6400146484375,263106101.0,vol_63d(+0.005) | vol_21d(-0.004) | close_vs_sma50(+0.004)
PTC,51,2026-08-25,beta_hedged,0.5112958550586101,0.7368421052631579,4,0.0,151.13999938964844,205227363.0,vol_63d(+0.007) | vol_63d_rank(+0.003) | vol_21d(-0.003)
FTNT,52,2026-08-25,beta_hedged,0.5110317572009603,0.7315789473684211,4,0.0,153.66000366210938,849619301.0,close_vs_sma200(+0.006) | vol_63d_rank(+0.004) | vol_21d(-0.003)
GRMN,53,2026-08-25,beta_hedged,0.510786108860852,0.7263157894736842,4,0.0,288.45001220703125,341206144.0,close_vs_sma200(+0.005) | vol_63d_rank(+0.005) | vol_21d(-0.003)
CMI,54,2026-08-25,beta_hedged,0.5105850417669356,0.7210526315789474,4,0.0,572.6699829101562,648918432.0,vol_63d(+0.007) | ret_10d(+0.003) | vol_63d_rank(+0.002)
SWKS,55,2026-08-25,beta_hedged,0.5102544786412421,0.7157894736842105,4,0.0,65.69999694824219,377146985.0,vol_63d(+0.008) | vol_21d(-0.004) | vol_63d_rank(+0.003)
SNPS,56,2026-08-25,beta_hedged,0.5102112732188192,0.7105263157894737,4,0.0,408.7900085449219,598739631.0,vol_63d_rank(+0.005) | ret_63d(+0.003) | vol_63d(-0.003)
BLDR,57,2026-08-25,beta_hedged,0.5100165396370193,0.7052631578947368,4,0.0,69.36000061035156,157165850.0,vol_63d(+0.014) | vol_21d(-0.004) | ret_10d(+0.003)
LULU,58,2026-08-25,beta_hedged,0.5098887852433435,0.7,4,0.0,118.33000183105469,315917730.0,vol_63d(+0.005) | vol_63d_rank(+0.003) | ret_10d(+0.003)
TMO,59,2026-08-25,beta_hedged,0.5097145202954548,0.6947368421052632,4,0.0,628.1500244140625,1117059596.0,close_vs_sma200(+0.005) | vol_63d(-0.003) | close_vs_sma50(+0.002)
MCHP,60,2026-08-25,beta_hedged,0.5096037186455386,0.6894736842105263,4,0.0,73.5,843494944.0,vol_63d(+0.014) | vol_21d(-0.003) | vol_10d(-0.003)
ADSK,61,2026-08-25,beta_hedged,0.5094467256496633,0.6842105263157895,4,0.0,251.2100067138672,463001550.0,vol_63d(+0.005) | vol_63d_rank(+0.003) | vol_21d(-0.003)
COP,62,2026-08-25,beta_hedged,0.5092231353189121,0.6789473684210526,4,0.0,131.83999633789062,870161640.0,close_vs_sma200(+0.006) | vol_63d(-0.004) | close_vs_sma50(+0.002)
BSX,63,2026-08-25,beta_hedged,0.5091436780274156,0.6736842105263158,4,0.0,49.86000061035156,1039209437.0,vol_63d(+0.005) | vol_63d_rank(+0.003) | ret_10d(+0.002)
JBL,64,2026-08-25,beta_hedged,0.5089974791954776,0.6684210526315789,4,0.0,308.67999267578125,355766696.0,vol_63d(+0.006) | vol_21d(-0.004) | vol_63d_rank(+0.004)
PHM,65,2026-08-25,beta_hedged,0.5088462683188648,0.6631578947368421,4,0.0,130.86000061035156,185562405.0,vol_63d(-0.004) | vol_63d_rank(+0.004) | ret_5d(+0.001)
