ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
STLD,55,2026-08-13,beta_hedged,0.5104909182932365,0.7230769230769231,4,0.0,260.5299987792969,295608546.0,close_vs_sma200(+0.009) | vol_63d_rank(+0.005) | vol_63d(-0.005)
ZBRA,56,2026-08-13,beta_hedged,0.509845774614559,0.717948717948718,4,0.0,379.6300048828125,288521253.0,vol_63d(+0.014) | vol_10d(+0.006) | vol_63d_rank(+0.005)
NUE,57,2026-08-13,beta_hedged,0.508886254285244,0.7128205128205128,4,0.0,272.2900085449219,360626789.0,close_vs_sma200(+0.008) | vol_63d(-0.006) | vol_21d(-0.004)
ORCL,58,2026-08-13,beta_hedged,0.5085530441190914,0.7076923076923077,4,0.0,156.22000122070312,4526812262.0,vol_63d(+0.017) | ret_10d(-0.006) | vol_63d_rank(+0.005)
EMR,59,2026-08-13,beta_hedged,0.5084332426257246,0.7025641025641025,4,0.0,164.2100067138672,485192786.0,vol_63d(-0.007) | close_vs_sma200(+0.006) | close_vs_sma50(+0.003)
CTSH,60,2026-08-13,beta_hedged,0.507579520198745,0.6974358974358974,4,0.0,59.290000915527344,516450689.0,vol_63d(+0.012) | vol_63d_rank(+0.006) | close_vs_sma50(+0.006)
BBY,61,2026-08-13,beta_hedged,0.5071423247418619,0.6923076923076923,4,0.0,85.3499984741211,270754936.0,vol_63d(+0.004) | ret_10d(+0.004) | vol_63d_rank(+0.004)
REGN,62,2026-08-13,beta_hedged,0.5070313514583589,0.6871794871794872,4,0.0,805.969970703125,630362945.0,vol_63d(-0.006) | vol_63d_rank(+0.005) | close_vs_sma50(+0.004)
TGT,63,2026-08-13,beta_hedged,0.5070031737022357,0.6820512820512821,4,0.0,155.50999450683594,514329906.0,close_vs_sma200(+0.006) | vol_63d(-0.005) | vol_21d(+0.002)
CEG,64,2026-08-13,beta_hedged,0.5065044427096687,0.676923076923077,4,0.0,278.6400146484375,756062997.0,vol_63d(+0.006) | vol_63d_rank(+0.003) | close_vs_sma200(-0.003)
WST,65,2026-08-13,beta_hedged,0.5059377651341647,0.6717948717948717,4,0.0,346.1600036621094,312394511.0,close_vs_sma200(+0.007) | vol_63d(-0.005) | vol_21d(-0.003)
ROST,66,2026-08-13,beta_hedged,0.505413789672115,0.6666666666666666,4,0.0,244.9600067138672,522830555.0,close_vs_sma200(+0.008) | vol_63d(-0.006) | vol_21d(+0.002)
INCY,67,2026-08-13,beta_hedged,0.504861860670664,0.6615384615384615,4,0.0,120.5199966430664,233479658.0,close_vs_sma200(+0.007) | vol_63d(-0.006) | vol_21d(-0.005)
WSM,68,2026-08-13,beta_hedged,0.5048096331733194,0.6564102564102564,4,0.0,242.44000244140625,211453630.0,close_vs_sma200(+0.006) | vol_63d_rank(+0.005) | vol_63d(-0.004)
FTNT,69,2026-08-13,beta_hedged,0.5045969888300194,0.6512820512820513,4,0.0,165.44000244140625,885704576.0,close_vs_sma200(+0.009) | vol_63d_rank(+0.005) | vol_63d(-0.004)
PNR,70,2026-08-13,beta_hedged,0.5042206580536622,0.6461538461538462,4,0.0,66.87000274658203,223932137.0,vol_63d(+0.006) | vol_21d(-0.003) | vol_63d_rank(+0.002)
FCX,71,2026-08-13,beta_hedged,0.5040154563518311,0.6410256410256411,4,0.0,66.83000183105469,894598830.0,vol_63d(+0.006) | vol_63d_rank(+0.006) | mkt_breadth(+0.005)
A,72,2026-08-13,beta_hedged,0.5036571744273969,0.6358974358974359,4,0.0,149.2899932861328,268510239.0,vol_63d_rank(+0.005) | vol_63d(-0.004) | close_vs_sma50(+0.002)
CHRW,73,2026-08-13,beta_hedged,0.5035036377678928,0.6307692307692307,4,0.0,149.35000610351562,434001190.0,vol_63d(+0.009) | ret_21d_rank(-0.007) | vol_63d_rank(+0.006)
COO,74,2026-08-13,beta_hedged,0.5033595352583243,0.6256410256410256,4,0.0,76.5999984741211,144441555.0,vol_63d(-0.005) | vol_63d_rank(+0.002) | vol_21d(+0.002)
ALB,75,2026-08-13,beta_hedged,0.5023416050340317,0.6205128205128205,4,0.0,130.47999572753906,286617398.0,vol_63d(+0.006) | ret_10d(-0.004) | vol_63d_rank(+0.003)
CMI,76,2026-08-13,beta_hedged,0.5019453081541323,0.6153846153846154,4,0.0,631.6099853515625,678133041.0,ret_10d(-0.004) | vol_63d(+0.003) | bb_position(+0.003)
CLX,77,2026-08-13,beta_hedged,0.501738052401511,0.6102564102564103,4,0.0,106.54000091552734,258662561.0,vol_63d(-0.006) | vol_63d_rank(+0.004) | close_vs_sma50(+0.002)
GEHC,78,2026-08-13,beta_hedged,0.5016513073801433,0.6051282051282051,4,0.0,73.79000091552734,355302169.0,vol_63d(-0.005) | close_vs_sma50(+0.004) | vol_63d_rank(+0.004)
GPC,79,2026-08-13,beta_hedged,0.5013020100344675,0.6,3,0.0,135.35000610351562,192824862.0,vol_63d_rank(+0.005) | vol_63d(-0.005) | close_vs_sma50(+0.003)
CRWD,80,2026-08-13,beta_hedged,0.5010932155159846,0.5948717948717949,3,0.0,225.52999877929688,1539108649.0,vol_63d(+0.012) | ret_10d(-0.007) | bb_position(-0.004)
COP,81,2026-08-13,beta_hedged,0.500977416992486,0.5897435897435898,3,0.0,124.5199966430664,765257015.0,vol_63d(-0.006) | close_vs_sma50(+0.003) | vol_63d_rank(+0.002)
RMD,82,2026-08-13,beta_hedged,0.5003994557450473,0.5846153846153846,3,0.0,226.74000549316406,295110101.0,vol_63d(-0.007) | close_vs_sma50(+0.004) | vol_63d_rank(+0.004)
BSX,83,2026-08-13,beta_hedged,0.4999989320288572,0.5794871794871795,3,0.0,51.689998626708984,951661538.0,vol_63d_rank(+0.005) | vol_63d(-0.003) | close_vs_sma200(-0.003)
EL,84,2026-08-13,beta_hedged,0.49988117668268034,0.5743589743589743,3,0.0,87.31999969482422,191614617.0,vol_63d_rank(+0.005) | vol_63d(-0.004) | close_vs_sma200(-0.003)
ODFL,85,2026-08-13,beta_hedged,0.49979265884114116,0.5692307692307692,3,0.0,215.72999572753906,396341801.0,vol_63d(-0.006) | vol_21d(-0.004) | vol_63d_rank(+0.003)
LLY,86,2026-08-13,beta_hedged,0.4997368907307867,0.5641025641025641,3,0.0,1209.0,3173652501.0,vol_63d(-0.007) | vol_21d(-0.003) | close_vs_sma200(+0.003)
WAB,87,2026-08-13,beta_hedged,0.4997155322253577,0.558974358974359,3,0.0,297.9800109863281,322986293.0,close_vs_sma200(+0.008) | vol_63d(-0.006) | vol_21d(-0.005)
AAPL,88,2026-08-13,beta_hedged,0.4995849196419444,0.5538461538461539,3,0.0,305.260009765625,17798163551.0,vol_63d(-0.006) | amihud(+0.002) | ret_10d(+0.001)
LULU,89,2026-08-13,beta_hedged,0.4995261586061528,0.5487179487179488,3,0.0,119.55999755859375,289947636.0,vol_63d_rank(+0.004) | vol_63d(-0.004) | close_vs_sma200(-0.002)
JCI,90,2026-08-13,beta_hedged,0.49941038544823285,0.5435897435897435,3,0.0,151.4499969482422,515350153.0,vol_63d(-0.006) | vol_63d_rank(+0.005) | vol_21d(+0.001)
BKNG,91,2026-08-13,beta_hedged,0.4992706265900535,0.5384615384615384,3,0.0,213.33999633789062,1208432386.0,vol_63d(-0.007) | vol_63d_rank(+0.004) | vol_21d(-0.003)
ISRG,92,2026-08-13,beta_hedged,0.49921188135943,0.5333333333333333,3,0.0,401.2699890136719,1527642281.0,ret_10d(-0.006) | vol_63d_rank(+0.003) | mkt_dispersion(+0.002)
PHM,93,2026-08-13,beta_hedged,0.4987392323190139,0.5282051282051282,3,0.0,130.5500030517578,223779912.0,vol_63d(-0.005) | vol_63d_rank(+0.004) | close_vs_sma200(-0.002)
FFIV,94,2026-08-13,beta_hedged,0.49815811626224343,0.5230769230769231,3,0.0,416.0,324388808.0,close_vs_sma200(+0.005) | vol_21d(-0.005) | vol_63d_rank(+0.004)
EBAY,95,2026-08-13,beta_hedged,0.4978454477150382,0.517948717948718,3,0.0,104.58000183105469,496870758.0,vol_63d(-0.006) | vol_21d(-0.003) | ret_21d_rank(+0.002)
BIIB,96,2026-08-13,beta_hedged,0.497821263327994,0.5128205128205128,3,0.0,210.64999389648438,217041863.0,vol_63d_rank(+0.005) | vol_63d(-0.004) | close_vs_sma200(-0.002)
NKE,97,2026-08-13,beta_hedged,0.4973310636582397,0.5076923076923077,3,0.0,41.22999954223633,841319848.0,vol_63d(-0.006) | vol_63d_rank(+0.003) | close_vs_sma200(-0.003)
TSCO,98,2026-08-13,beta_hedged,0.4971163915391741,0.5025641025641026,3,0.0,36.16999816894531,418360393.0,vol_63d(-0.005) | ret_10d(-0.004) | vol_63d_rank(+0.004)
PTC,99,2026-08-13,beta_hedged,0.49698372681737446,0.49743589743589745,3,0.0,153.88999938964844,215986963.0,vol_63d(+0.007) | ret_10d(-0.005) | vol_21d(-0.004)
EXPE,100,2026-08-13,beta_hedged,0.4967159661080149,0.49230769230769234,3,0.0,328.30999755859375,481115195.0,vol_63d_rank(+0.005) | close_vs_sma200(+0.005) | ret_10d(-0.004)
CF,101,2026-08-13,beta_hedged,0.49648579543167276,0.48717948717948717,3,0.0,117.05000305175781,285261712.0,vol_63d(-0.006) | vol_21d(-0.005) | vol_63d_rank(+0.004)
ROP,102,2026-08-13,beta_hedged,0.4963844928155403,0.48205128205128206,3,0.0,397.5,336081366.0,vol_63d(-0.007) | vol_21d(-0.004) | vol_63d_rank(+0.004)
HAL,103,2026-08-13,beta_hedged,0.4957593347771832,0.47692307692307695,3,0.0,32.84000015258789,408982816.0,vol_63d(-0.004) | vol_21d(-0.004) | vol_63d_rank(+0.003)
MAS,104,2026-08-13,beta_hedged,0.49557173131264465,0.4717948717948718,3,0.0,74.58000183105469,222913013.0,ret_10d(-0.003) | vol_63d(+0.003) | vol_21d(-0.003)
DECK,105,2026-08-13,beta_hedged,0.4953971372569293,0.4666666666666667,3,0.0,93.30000305175781,240700639.0,vol_21d(-0.005) | vol_63d(-0.004) | close_vs_sma200(-0.003)
MCK,106,2026-08-13,beta_hedged,0.4953917447141478,0.46153846153846156,3,0.0,856.6900024414062,893162909.0,vol_63d(-0.008) | vol_21d(-0.004) | mkt_breadth(+0.002)
