ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
BKR,102,2026-09-02,beta_hedged,0.4987157059166785,0.48205128205128206,3,0.0,64.62999725341797,400598413.0,vol_63d(-0.004) | vol_63d_rank(+0.002) | vol_21d(+0.001)
SHW,103,2026-09-02,beta_hedged,0.4986106354265573,0.47692307692307695,3,0.0,331.25,570799875.0,vol_63d(-0.004) | close_vs_sma200(-0.004) | vol_63d_rank(+0.003)
MDT,104,2026-09-02,beta_hedged,0.49821949504510105,0.4717948717948718,3,0.0,92.18000030517578,679097799.0,vol_63d(-0.005) | vol_63d_rank(-0.003) | sharpe_mom_63(+0.002)
EXPD,105,2026-09-02,beta_hedged,0.4981072058195355,0.4666666666666667,3,0.0,186.16000366210938,154703292.0,vol_63d_rank(-0.009) | close_vs_sma200(+0.007) | vol_63d(-0.005)
GNRC,106,2026-09-02,beta_hedged,0.49810054984847313,0.46153846153846156,3,0.0,180.75999450683594,206114128.0,vol_63d(+0.007) | vol_21d(-0.005) | vol_63d_rank(+0.004)
MKC,107,2026-09-02,beta_hedged,0.49803933953421603,0.4564102564102564,3,0.0,53.79999923706055,126663018.0,vol_63d(-0.006) | close_vs_sma200(-0.003) | amihud(+0.002)
TER,108,2026-09-02,beta_hedged,0.49802874207282627,0.4512820512820513,3,0.0,341.6199951171875,964568887.0,atr_pct(+0.007) | vol_63d(+0.006) | vol_63d_rank(-0.004)
LULU,109,2026-09-02,beta_hedged,0.4980031835990508,0.4461538461538462,3,0.0,120.06999969482422,416348395.0,vol_21d(-0.003) | vol_63d_rank(+0.003) | ret_63d(-0.002)
WSM,110,2026-09-02,beta_hedged,0.4977936960068028,0.441025641025641,3,0.0,221.72000122070312,258881589.0,vol_63d(-0.004) | ret_21d_rank(+0.002) | vol_21d(+0.001)
EPAM,111,2026-09-02,beta_hedged,0.4974208493894114,0.4358974358974359,3,0.0,117.19999694824219,148310477.0,vol_63d(+0.008) | vol_63d_rank(+0.005) | vol_21d_rank(-0.004)
ALLE,112,2026-09-02,beta_hedged,0.49741329728022327,0.4307692307692308,3,0.0,155.07000732421875,225260274.0,vol_63d(-0.005) | vol_10d(-0.002) | close_vs_sma200(-0.002)
JNJ,113,2026-09-02,beta_hedged,0.4973849705812929,0.4256410256410256,3,0.0,275.2099914550781,1692214228.0,vol_63d_rank(-0.009) | close_vs_sma200(+0.007) | vol_63d(-0.006)
