ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
MCK,94,2026-08-11,beta_hedged,0.49545507607610234,0.5130890052356021,3,0.0,901.77001953125,879994537.0,vol_63d(-0.009) | vol_21d(-0.005) | close_vs_sma50(+0.003)
GNRC,95,2026-08-11,beta_hedged,0.49536648138602385,0.5078534031413613,3,0.0,215.86000061035156,252433115.0,vol_63d(+0.013) | atr_pct(+0.007) | ret_21d_rank(-0.006)
DHR,96,2026-08-11,beta_hedged,0.49522940695784357,0.5026178010471204,3,0.0,207.44000244140625,1289946515.0,vol_63d(-0.006) | vol_63d_rank(+0.004) | vol_21d(-0.003)
CLX,97,2026-08-11,beta_hedged,0.4952069892065356,0.4973821989528796,3,0.0,108.25,270593898.0,vol_63d(-0.007) | vol_21d(-0.006) | close_vs_sma50(+0.003)
ADI,98,2026-08-11,beta_hedged,0.4951725291496016,0.49214659685863876,3,0.0,385.29998779296875,1471614102.0,vol_63d(+0.005) | vol_63d_rank(+0.004) | vol_21d(-0.004)
DECK,99,2026-08-11,beta_hedged,0.4951464845922819,0.4869109947643979,3,0.0,93.83999633789062,228871789.0,vol_21d(-0.006) | vol_63d(-0.004) | mkt_breadth(-0.003)
EQIX,100,2026-08-11,beta_hedged,0.4949246556481062,0.4816753926701571,3,0.0,1032.4000244140625,715594584.0,vol_63d(-0.009) | vol_21d(-0.005) | close_vs_sma200(+0.004)
STE,101,2026-08-11,beta_hedged,0.4949044190583151,0.47643979057591623,3,0.0,238.22999572753906,182486695.0,vol_63d(-0.008) | close_vs_sma50(+0.003) | close_vs_sma200(-0.002)
ISRG,102,2026-08-11,beta_hedged,0.4946819061249192,0.4712041884816754,3,0.0,401.2300109863281,1571477211.0,vol_63d_rank(+0.006) | ret_10d(-0.004) | mkt_dispersion(+0.004)
SYK,103,2026-08-11,beta_hedged,0.4943912339287873,0.46596858638743455,3,0.0,348.1499938964844,804036352.0,vol_63d(-0.007) | vol_21d(-0.004) | close_vs_sma200(-0.004)
IR,104,2026-08-11,beta_hedged,0.4943073083562693,0.4607329842931937,3,0.0,85.0199966430664,396371666.0,vol_63d(-0.008) | vol_21d(-0.005) | vol_63d_rank(+0.004)
ROP,105,2026-08-11,beta_hedged,0.4940904995418611,0.45549738219895286,3,0.0,399.5,335348549.0,vol_63d(-0.007) | vol_21d(-0.005) | close_vs_sma50(+0.004)
LULU,106,2026-08-11,beta_hedged,0.49408307152610814,0.450261780104712,3,0.0,125.61000061035156,283455928.0,vol_63d(-0.005) | vol_63d_rank(+0.005) | close_vs_sma200(-0.003)
BKR,107,2026-08-11,beta_hedged,0.49378877346336464,0.44502617801047123,3,0.0,64.80999755859375,528934848.0,vol_63d(-0.005) | close_vs_sma50(+0.003) | vol_63d_rank(+0.003)
SHW,108,2026-08-11,beta_hedged,0.49344893458591477,0.4397905759162304,3,0.0,364.4200134277344,728318922.0,vol_63d(-0.008) | vol_21d(-0.005) | close_vs_sma50(+0.004)
NKE,109,2026-08-11,beta_hedged,0.49343655166690503,0.43455497382198954,3,0.0,41.31999969482422,789125821.0,vol_63d(-0.008) | close_vs_sma200(-0.003) | ret_10d(+0.001)
BKNG,110,2026-08-11,beta_hedged,0.49268516056133266,0.4293193717277487,3,0.0,212.8699951171875,1238236243.0,ret_21d_rank(-0.010) | vol_63d(-0.007) | close_vs_sma50(+0.005)
VMC,111,2026-08-11,beta_hedged,0.492505400384642,0.42408376963350786,3,0.0,287.7900085449219,300019945.0,vol_63d(-0.007) | close_vs_sma200(-0.003) | vol_63d_rank(+0.002)
EBAY,112,2026-08-11,beta_hedged,0.49234510948569427,0.418848167539267,3,0.0,106.01000213623047,502414252.0,vol_63d(-0.008) | vol_21d(-0.005) | ret_21d_rank(+0.001)
RMD,113,2026-08-11,beta_hedged,0.49205589536454664,0.41361256544502617,3,0.0,224.83999633789062,292982686.0,vol_63d(-0.007) | vol_21d(-0.005) | close_vs_sma50(+0.004)
TT,114,2026-08-11,beta_hedged,0.49174872133750114,0.4083769633507853,3,0.0,483.9599914550781,620632774.0,vol_63d(-0.008) | vol_63d_rank(+0.002) | close_vs_sma200(-0.002)
BDX,115,2026-08-11,beta_hedged,0.4916778759505216,0.4031413612565445,3,0.0,181.41000366210938,311380142.0,vol_63d(-0.012) | vol_63d_rank(-0.006) | close_vs_sma200(+0.003)
VRTX,116,2026-08-11,beta_hedged,0.49162517735253725,0.39790575916230364,2,0.0,529.6500244140625,676032117.0,vol_63d(-0.010) | vol_63d_rank(-0.005) | close_vs_sma50(+0.003)
HSY,117,2026-08-11,beta_hedged,0.4911937220249663,0.39267015706806285,2,0.0,181.97999572753906,283392996.0,vol_63d(-0.008) | close_vs_sma200(-0.004) | vol_63d_rank(+0.002)
WELL,118,2026-08-11,beta_hedged,0.49111944367909893,0.387434554973822,2,0.0,226.00999450683594,735068099.0,vol_63d(-0.009) | vol_63d_rank(-0.004) | vol_21d(+0.002)
KMB,119,2026-08-11,beta_hedged,0.4909983736058852,0.38219895287958117,2,0.0,108.56999969482422,409112087.0,vol_63d(-0.010) | vol_63d_rank(-0.005) | vol_21d(+0.002)
EOG,120,2026-08-11,beta_hedged,0.4909911489834073,0.3769633507853403,2,0.0,143.39999389648438,437487641.0,vol_63d(-0.007) | vol_21d(-0.005) | vol_63d_rank(+0.003)
LH,121,2026-08-11,beta_hedged,0.49099107276055887,0.3717277486910995,2,0.0,322.4200134277344,254047940.0,vol_63d_rank(-0.012) | vol_63d(-0.011) | close_vs_sma200(+0.005)
AVY,122,2026-08-11,beta_hedged,0.4909252477410973,0.36649214659685864,2,0.0,179.72999572753906,142482791.0,vol_63d(-0.010) | vol_63d_rank(-0.004) | close_vs_sma50(+0.003)
