ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
TRMB,66,2026-08-27,beta_hedged,0.5090985250893755,0.6596858638743456,4,0.0,61.540000915527344,161193079.0,vol_63d(-0.005) | vol_63d_rank(+0.004) | amihud(+0.003)
COHR,67,2026-08-27,beta_hedged,0.5090810137783058,0.6544502617801047,4,0.0,295.3900146484375,2438966339.0,vol_63d(+0.015) | vol_10d(+0.009) | vol_21d_rank(-0.007)
RL,68,2026-08-27,beta_hedged,0.508899056045777,0.6492146596858639,4,0.0,351.8999938964844,273796078.0,vol_63d(+0.004) | ret_63d(-0.003) | vol_63d_rank(+0.003)
ADI,69,2026-08-27,beta_hedged,0.5086328223277438,0.643979057591623,4,0.0,374.5199890136719,1423258352.0,vol_63d(+0.004) | vol_63d_rank(+0.003) | ret_63d(-0.003)
FTNT,70,2026-08-27,beta_hedged,0.5079570289961534,0.6387434554973822,4,0.0,172.77999877929688,759792461.0,close_vs_sma200(+0.010) | ret_5d(-0.005) | ret_1d(-0.004)
VRTX,71,2026-08-27,beta_hedged,0.5079233082768678,0.6335078534031413,4,0.0,547.5499877929688,627820701.0,close_vs_sma200(+0.005) | vol_63d(-0.005) | close_vs_sma50(+0.003)
SMCI,72,2026-08-27,beta_hedged,0.5077701854474282,0.6282722513089005,4,0.0,38.459999084472656,1941574173.0,vol_63d(+0.013) | ret_63d(-0.004) | vol_63d_rank(-0.004)
NKE,73,2026-08-27,beta_hedged,0.5077674576501915,0.6230366492146597,4,0.0,38.439998626708984,1067452894.0,vol_63d(-0.004) | ret_63d(+0.003) | vol_63d_rank(+0.003)
COP,74,2026-08-27,beta_hedged,0.5077402658552621,0.6178010471204188,4,0.0,129.52000427246094,869031865.0,close_vs_sma200(+0.006) | vol_63d(-0.005) | close_vs_sma50(+0.003)
MAS,75,2026-08-27,beta_hedged,0.5071290893042851,0.612565445026178,4,0.0,72.79000091552734,162650513.0,vol_63d_rank(+0.006) | vol_63d(-0.003) | amihud(+0.003)
ROL,76,2026-08-27,beta_hedged,0.5071080944571058,0.6073298429319371,4,0.0,35.939998626708984,188593411.0,vol_63d(-0.004) | sharpe_mom_63(+0.004) | ret_63d(+0.003)
WAB,77,2026-08-27,beta_hedged,0.5069599285747434,0.6020942408376964,4,0.0,297.2799987792969,269695598.0,close_vs_sma200(+0.006) | vol_63d(-0.004) | vol_21d(+0.002)
ROP,78,2026-08-27,beta_hedged,0.506857319517016,0.5968586387434555,3,0.0,422.69000244140625,293006073.0,vol_63d(-0.004) | vol_63d_rank(+0.003) | close_vs_sma50(+0.003)
PHM,79,2026-08-27,beta_hedged,0.5063053754931723,0.5916230366492147,3,0.0,126.75,165871343.0,vol_63d(-0.004) | vol_63d_rank(+0.004) | amihud(+0.002)
CDW,80,2026-08-27,beta_hedged,0.5062445257917393,0.5863874345549738,3,0.0,148.97000122070312,272478232.0,vol_63d(+0.007) | ret_5d(-0.007) | vol_63d_rank(+0.004)
