ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
MSFT,81,2026-09-17,beta_hedged,0.5069984701883622,0.5854922279792746,3,0.0,497.75,10036490550.0,vol_63d_rank(+0.006) | vol_63d(-0.004) | mkt_dispersion(+0.002)
BIIB,82,2026-09-17,beta_hedged,0.5069487677388668,0.5803108808290155,3,0.0,219.0500030517578,166135886.0,vol_63d(-0.007) | vol_63d_rank(+0.007) | mkt_dispersion(+0.003)
GPC,83,2026-09-17,beta_hedged,0.5067785265348782,0.5751295336787565,3,0.0,130.8800048828125,140576377.0,vol_63d(-0.008) | vol_63d_rank(+0.008) | mkt_dispersion(+0.003)
EFX,84,2026-09-17,beta_hedged,0.506516740660626,0.5699481865284974,3,0.0,161.1699981689453,220797299.0,vol_63d_rank(+0.004) | mkt_dispersion(+0.004) | vol_63d(+0.003)
COP,85,2026-09-17,beta_hedged,0.5063603813074858,0.5647668393782384,3,0.0,133.19000244140625,879968218.0,vol_63d(-0.008) | close_vs_sma200(+0.006) | vol_63d_rank(+0.002)
STLD,86,2026-09-17,beta_hedged,0.506312334885038,0.5595854922279793,3,0.0,245.35000610351562,282583290.0,mkt_dispersion(+0.005) | vol_63d_rank(+0.004) | vol_63d(+0.002)
BKNG,87,2026-09-17,beta_hedged,0.5062659983371945,0.5544041450777202,3,0.0,170.52000427246094,1181725213.0,vol_63d_rank(+0.004) | vol_63d(+0.003) | bb_position(+0.002)
CARR,88,2026-09-17,beta_hedged,0.5060235643870756,0.5492227979274611,3,0.0,54.38999938964844,343492917.0,vol_63d(-0.005) | vol_63d_rank(+0.005) | close_vs_sma200(-0.002)
EOG,89,2026-09-17,beta_hedged,0.5059937111910404,0.5440414507772021,3,0.0,145.47000122070312,450491435.0,vol_63d(-0.006) | vol_63d_rank(+0.006) | mkt_dispersion(+0.002)
DVN,90,2026-09-17,beta_hedged,0.5055803973526652,0.538860103626943,3,0.0,48.720001220703125,514732215.0,vol_63d(-0.007) | vol_63d_rank(+0.005) | mkt_dispersion(+0.002)
BLDR,91,2026-09-17,beta_hedged,0.5054346509745082,0.533678756476684,3,0.0,57.68000030517578,147505150.0,vol_63d(+0.014) | close_vs_sma200(-0.007) | vol_10d(-0.004)
HAL,92,2026-09-17,beta_hedged,0.5053850843107004,0.5284974093264249,3,0.0,34.029998779296875,402657096.0,vol_63d_rank(+0.007) | vol_63d(-0.007) | mkt_dispersion(+0.002)
BKR,93,2026-09-17,beta_hedged,0.5052289241667797,0.5233160621761658,3,0.0,56.56999969482422,431862581.0,vol_63d(-0.005) | vol_63d_rank(+0.005) | close_vs_sma200(-0.002)
DHI,94,2026-09-17,beta_hedged,0.5049925953042284,0.5181347150259067,3,0.0,140.3800048828125,302334219.0,vol_63d_rank(+0.006) | vol_63d(-0.006) | mkt_dispersion(+0.002)
CMI,95,2026-09-17,beta_hedged,0.5049208220731661,0.5129533678756477,3,0.0,523.8800048828125,597538367.0,vol_63d(-0.006) | vol_63d_rank(+0.004) | close_vs_sma200(-0.002)
UBER,96,2026-09-17,beta_hedged,0.5046680983908733,0.5077720207253886,3,0.0,70.87000274658203,1304334406.0,vol_63d_rank(+0.005) | vol_63d(-0.003) | bb_position(+0.002)
SYK,97,2026-09-17,beta_hedged,0.5044766165650811,0.5025906735751295,3,0.0,280.1300048828125,868922065.0,vol_63d_rank(+0.004) | close_vs_sma200(-0.002) | vol_21d(-0.002)
TRMB,98,2026-09-17,beta_hedged,0.5042524508805196,0.49740932642487046,3,0.0,57.33000183105469,217661540.0,vol_63d(-0.007) | vol_63d_rank(+0.005) | mkt_dispersion(+0.003)
MAS,99,2026-09-17,beta_hedged,0.5038373193952502,0.49222797927461137,3,0.0,68.2300033569336,136123243.0,vol_63d_rank(+0.007) | vol_63d(-0.007) | mkt_dispersion(+0.002)
