ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
SMCI,75,2026-08-14,beta_hedged,0.5012575666424016,0.6021505376344086,4,0.0,39.84000015258789,1882082654.0,ret_5d(-0.012) | vol_63d(+0.009) | bb_position(-0.004)
MAS,76,2026-08-14,beta_hedged,0.5009607583846641,0.5967741935483871,3,0.0,74.33000183105469,227916173.0,bb_position(+0.005) | vol_63d(+0.004) | ret_10d(-0.004)
EL,77,2026-08-14,beta_hedged,0.500744218542995,0.5913978494623656,3,0.0,86.0999984741211,194390733.0,vol_63d_rank(+0.006) | vol_63d(-0.004) | close_vs_sma200(-0.003)
RMD,78,2026-08-14,beta_hedged,0.5005637700156075,0.5860215053763441,3,0.0,224.4600067138672,307664928.0,vol_63d(-0.006) | vol_63d_rank(+0.006) | vol_21d(-0.004)
GEHC,79,2026-08-14,beta_hedged,0.500495596253619,0.5806451612903226,3,0.0,73.69000244140625,343628027.0,vol_63d(-0.006) | vol_63d_rank(+0.005) | close_vs_sma50(+0.005)
PHM,80,2026-08-14,beta_hedged,0.500422958640906,0.5752688172043011,3,0.0,130.17999267578125,219092843.0,vol_63d(-0.005) | vol_63d_rank(+0.005) | close_vs_sma200(-0.002)
FTNT,81,2026-08-14,beta_hedged,0.5002647674468422,0.5698924731182796,3,0.0,160.00999450683594,887638256.0,vol_63d_rank(+0.006) | vol_63d(-0.005) | close_vs_sma200(+0.003)
BKNG,82,2026-08-14,beta_hedged,0.500192526426613,0.5645161290322581,3,0.0,212.05999755859375,1193455340.0,vol_63d(-0.006) | vol_63d_rank(+0.004) | vol_21d(-0.004)
AAPL,83,2026-08-14,beta_hedged,0.49990594569940433,0.5591397849462365,3,0.0,305.92999267578125,17364735798.0,vol_63d(-0.006) | amihud(+0.002) | ret_21d_rank(+0.002)
DECK,84,2026-08-14,beta_hedged,0.4995762286269178,0.553763440860215,3,0.0,93.08999633789062,242907271.0,vol_63d(-0.005) | vol_21d(-0.005) | vol_63d_rank(+0.004)
PTC,85,2026-08-14,beta_hedged,0.4994829924188617,0.5483870967741935,3,0.0,149.75,210579551.0,vol_63d(+0.007) | vol_63d_rank(+0.004) | amihud(-0.003)
EFX,86,2026-08-14,beta_hedged,0.49941759008444125,0.543010752688172,3,0.0,180.85000610351562,309799899.0,vol_63d(+0.006) | vol_21d(-0.004) | vol_63d_rank(+0.003)
CSCO,87,2026-08-14,beta_hedged,0.49899179340081484,0.5376344086021505,3,0.0,111.68000030517578,2598834083.0,vol_63d(-0.005) | vol_63d_rank(+0.005) | vol_21d(-0.004)
ODFL,88,2026-08-14,beta_hedged,0.4986923961843482,0.532258064516129,3,0.0,210.97000122070312,391992674.0,vol_63d(-0.006) | vol_21d(-0.004) | vol_63d_rank(+0.003)
TSCO,89,2026-08-14,beta_hedged,0.4986842625541394,0.5268817204301075,3,0.0,35.83000183105469,423206791.0,vol_63d(-0.006) | close_vs_sma50(+0.004) | close_vs_sma200(-0.004)
LRCX,90,2026-08-14,beta_hedged,0.4984857842655755,0.521505376344086,3,0.0,332.3599853515625,3293189515.0,vol_63d(+0.009) | ret_10d(-0.005) | mkt_dispersion(+0.004)
CF,91,2026-08-14,beta_hedged,0.49846106366132625,0.5161290322580645,3,0.0,118.30000305175781,285424391.0,vol_63d(-0.006) | vol_21d(-0.005) | vol_63d_rank(+0.005)
ALGN,92,2026-08-14,beta_hedged,0.49715984841704747,0.510752688172043,3,0.0,181.30999755859375,158674297.0,vol_63d(+0.004) | vol_21d(-0.004) | ret_10d(-0.003)
CTAS,93,2026-08-14,beta_hedged,0.4971113694712861,0.5053763440860215,3,0.0,199.52000427246094,467907442.0,vol_63d(-0.008) | vol_63d_rank(+0.002) | bb_position(+0.001)
JBL,94,2026-08-14,beta_hedged,0.4970870919156014,0.5,3,0.0,363.1000061035156,353649229.0,ret_10d(-0.007) | vol_63d_rank(+0.005) | close_vs_sma200(+0.003)
BIIB,95,2026-08-14,beta_hedged,0.4969795703381385,0.4946236559139785,3,0.0,209.8300018310547,208271183.0,vol_63d_rank(+0.005) | vol_63d(-0.004) | close_vs_sma200(-0.002)
IDXX,96,2026-08-14,beta_hedged,0.49668947977181865,0.489247311827957,3,0.0,550.9600219726562,425595964.0,vol_63d(-0.007) | vol_63d_rank(+0.004) | vol_21d(-0.004)
BKR,97,2026-08-14,beta_hedged,0.4965608098625968,0.4838709677419355,3,0.0,64.81999969482422,532080399.0,vol_63d(-0.005) | vol_63d_rank(+0.004) | close_vs_sma50(+0.003)
CEG,98,2026-08-14,beta_hedged,0.4965415688963473,0.478494623655914,3,0.0,282.5,751623337.0,vol_63d(+0.005) | vol_63d_rank(+0.004) | bb_position(-0.003)
ALLE,99,2026-08-14,beta_hedged,0.49650061694981096,0.4731182795698925,3,0.0,164.77999877929688,223792101.0,vol_63d(-0.006) | vol_21d(-0.005) | close_vs_sma50(+0.003)
POOL,100,2026-08-14,beta_hedged,0.49617985913758095,0.46774193548387094,3,0.0,194.83999633789062,175557662.0,vol_21d(-0.006) | vol_63d_rank(+0.004) | vol_63d(-0.004)
LLY,101,2026-08-14,beta_hedged,0.49597684760872046,0.46236559139784944,3,0.0,1180.1600341796875,3126994260.0,vol_63d(-0.006) | vol_21d(-0.004) | vol_63d_rank(+0.002)
COO,102,2026-08-14,beta_hedged,0.4956233755650641,0.45698924731182794,3,0.0,76.16999816894531,142309458.0,vol_63d(-0.006) | vol_63d_rank(+0.002) | ret_21d(-0.002)
ROP,103,2026-08-14,beta_hedged,0.49546173623930545,0.45161290322580644,3,0.0,399.3399963378906,342571825.0,vol_63d(-0.007) | vol_21d(-0.003) | close_vs_sma50(+0.003)
ISRG,104,2026-08-14,beta_hedged,0.49533938863525767,0.44623655913978494,3,0.0,394.510009765625,1460951938.0,ret_10d(-0.005) | mkt_dispersion(+0.004) | vol_21d_rank(-0.004)
TT,105,2026-08-14,beta_hedged,0.49520455624770804,0.44086021505376344,3,0.0,480.20001220703125,589343260.0,vol_63d(-0.005) | vol_63d_rank(+0.003) | vol_21d(+0.001)
EOG,106,2026-08-14,beta_hedged,0.4951725104276852,0.43548387096774194,3,0.0,142.61000061035156,435141006.0,vol_63d(-0.006) | vol_63d_rank(+0.004) | vol_21d(-0.004)
GOOGL,107,2026-08-14,beta_hedged,0.49500136081575835,0.43010752688172044,3,0.0,345.8999938964844,11005813266.0,vol_63d(-0.006) | vol_21d(-0.005) | vol_63d_rank(+0.003)
EBAY,108,2026-08-14,beta_hedged,0.4945207180234772,0.42473118279569894,3,0.0,103.13999938964844,490481026.0,vol_63d(-0.006) | vol_21d(-0.003) | ret_21d_rank(+0.002)
ALB,109,2026-08-14,beta_hedged,0.4944389750665293,0.41935483870967744,3,0.0,136.14999389648438,286838903.0,ret_10d(-0.008) | vol_63d(+0.005) | vol_63d_rank(+0.004)
MRK,110,2026-08-14,beta_hedged,0.494429913105551,0.41397849462365593,3,0.0,135.83999633789062,1094657666.0,vol_63d(-0.006) | close_vs_sma200(+0.005) | vol_63d_rank(-0.005)
PPG,111,2026-08-14,beta_hedged,0.4944116370396001,0.40860215053763443,3,0.0,114.11000061035156,219830860.0,vol_63d(-0.005) | vol_21d(-0.004) | vol_63d_rank(+0.003)
VMC,112,2026-08-14,beta_hedged,0.4940669104542577,0.4032258064516129,3,0.0,282.0,290959534.0,vol_63d(-0.004) | close_vs_sma200(-0.003) | vol_63d_rank(+0.002)
MDT,113,2026-08-14,beta_hedged,0.49393474074066046,0.3978494623655914,2,0.0,91.2699966430664,592741591.0,vol_63d(-0.007) | vol_63d_rank(-0.003) | close_vs_sma50(+0.003)
CARR,114,2026-08-14,beta_hedged,0.4937490392508726,0.3924731182795699,2,0.0,62.779998779296875,458862110.0,vol_63d(-0.005) | vol_21d(-0.003) | vol_63d_rank(+0.003)
BDX,115,2026-08-14,beta_hedged,0.4932497296449732,0.3870967741935484,2,0.0,183.39999389648438,322273881.0,vol_63d(-0.009) | vol_63d_rank(-0.006) | close_vs_sma200(+0.004)
